english,hungarian
the,a
carpenter,ács
tax,adó
adopted,adoptált
branch,ág
Evangelical,ágostai
bachelor,agglegény
Evangelical,ágostai
legitimacystatus,ágybólszármazó
brainfever,agyláz
lodger,ágyrajáró
stroke,agyszélhűdés
stroke,agyvérzés
who,aki
short,alacsony
signature,aláírás
thorough,alapos
under,alatt
subrenter,albérlő
civil,állami
permanent,állandó
status,állapot
statusof,állapota
pregnant,állapotos
occupation,állás
lower,alsó
undersigned,alulírott
English,angol
mother,anya
registerofbirths,anyakönyv
mother-in-law,anyós
father,apa
father-in-law,após
April,április
orphan,árva
marriedwoman,asszony
dehydration,aszkór
cabinetmaker,asztalos
joiner,asztalos
joiner,asztalos
asthma,asztma
through,át
conversion,áttérés
personsconverted,áttértek
father,atya
August,augusztus
the,az
formerly,azelőtt
they,azok
besides,azonkívül
midwife,bába
left,bal
miner,bányász
miner,bányamíves
Baptist,baptista
friend,barát
brown,barna
baron,báró
elderbrother,báty
Vienna,Bécs
honest,becsületes
declares,bejelent
informant,bejelentő
enteritis,bélgyulladás
inside,belül
hiredfarmworker,béres
renter,bérlő
confirmation,bérmálás
personsbeingconfirmed,bérmálók
disease,betegség
immigration,bevándorlás
immigrant,bevándorló
bibliography,bibliográfia
judge,bíró
empire,birodalom
court,bíróság
landowningfarmer,birtokos
vagrant,bitang
certificate,bizonyítvány
certain,bizonyos
testimonies,bizonyságok
uncertain,bizonytalan
cooper,bodnár
wheelmaker,bognár
happy,boldog
shopkeeper,boltos
barber,borbély
purpose,cél
gypsy,cigány
title,cím
coatofarms,címer
directory,címtár
burialground,cinterem
shoemaker,cipész
only,csak
family,család
pedigree,családfa
headofhousehold,családfő
maritalstatusof,családiállapota
familybook,családikönyv
familyname,családinév
familymember,családtag
genealogy,családtörténet
infant,csecsemő
czech,cseh
Bohemia,Csehország
servant,cseléd
tanner,cserzővarga
horseherder,csikós
bootmaker,csizmadia
Thursday,csűtörtök
beforenoon,délelőtt
afternoon,élután
tumor,daganat
but,de
December,december
greatgrandmother,dédnagyanya
greatgrandfather,dédnagyapa
south,dél
atnoon,délben
atnoon,déli
intheafternoon,délután
schoolboy,diák
fee,díj
plague,dögvész
domb,dolgozó
hill,domb
westernHungary,Dunántúl
this,e
theymarried,esküdött
sibling,édestestvér
one,egy
theymarried,egybekeltek
individual,egyén
society,egyesület
church,egyház
diocese,egyházkerület
together,együtt
atthesametime,egyúttal
night,éj
midnight,éjfél
atnight,éjjeli
midnight,éjszaka
jeweler,ékszerész
seller,eladó
bury,elás
inthebeginningof,elején
life,élet
age,életkor
biography,életleírás
biography,életrajz
burial,elföldelés
surviving,elhagyott
death,elhalálozás
thedeceased,elhalálozott
thedeceased,elhalt
deceased,elhunyt
tobetrothe,eljegyez
betrothal,eljegyzés
surviving,elmaradott
alive,élő
before,előbb
former,előbbi
previous,előbbi
givenname,előnév
